hydr_id,date,time,address,station,district,hydr_gpm,make,model
I06.5,04-Sep-19,,,1,,1341,MUELLER,
J01,04-Sep-19,,,1,WC,1419,MUELLER,
J11,30-Aug-19,,,1,Y,1529,MUELLER,
J12,30-Aug-19,,,1,Y,1457,MUELLER,
J15,30-Aug-19,,,1,Y,1341,MUELLER,
E13,14-Aug-19,,,1,,1367,MUELLER,
E14,14-Aug-19,,,1,CTY,1354,MUELLER,
E16,14-Aug-19,,,1,CTY,0,MUELLER,
E16.1,14-Aug-19,,,1,,1367,MUELLER,
E16.2,14-Aug-19,,,1,,1314,,
E16.3,14-Aug-19,,,1,,1314,,
E16.4,14-Aug-19,,,1,,1393,MUELLER,
E20,14-Aug-19,,,1,CTY,1341,MUELLER,
E21,14-Aug-19,,,1,,1393,MUELLER,
E22,14-Aug-19,,,1,,1169,MUELLER,
E23,14-Aug-19,,,1,,1393,MUELLER,
E24,14-Aug-19,,,1,,1393,MUELLER,
E25,14-Aug-19,,,1,,1393,MUELLER,
E26,14-Aug-19,,,1,,1419,MUELLER,
E27,14-Aug-19,,,1,,1419,MUELLER,
E28,14-Aug-19,,,1,,1393,MUELLER,
E29,14-Aug-19,,,1,,1444,MUELLER,
F32,01-Jul-19,,,1,WC,1184,MUELLER,
F33,01-Jul-19,,,1,NC,1169,MUELLER,
F34,01-Jul-19,,,1,NC,1341,MUELLER,
F35,01-Jul-19,,,1,NC,1444,MUELLER,
F36,01-Jul-19,,,1,,1341,MUELLER,
F37,01-Jul-19,,,1,,1199,MUELLER,
F38,01-Jul-19,,,1,,1341,MUELLER,
F40,01-Jul-19,,,1,,1393,MUELLER,
F41,01-Jul-19,,,1,,1341,MUELLER,
F42,01-Jul-19,,,1,,1341,MUELLER,
F43,01-Jul-19,,,1,,1444,MUELLER,
F44,01-Jul-19,,,1,,1444,MUELLER,
F45,01-Jul-19,,,1,,1444,MUELLER,
F47,01-Jul-19,,,1,,1469,MUELLER,
F48,01-Jul-19,,,1,,1564,MUELLER,
F49,01-Jul-19,,,1,,1541,MUELLER,
F50,01-Jul-19,,,1,,1587,MUELLER,
F55,01-Jul-19,,,1,BB,1738,MUELLER,
A01,28-Jun-19,,,1,CTY,1286,WATEROUS,
A02,28-Jun-19,,,1,CTY,1199,MUELLER,
A03,28-Jun-19,,,1,CTY,1300,WATEROUS,
A04,28-Jun-19,,,1,CTY,1341,MUELLER,
A07,28-Jun-19,,,1,CTY,1314,WATEROUS,
A08,28-Jun-19,,,1,CTY,1314,MUELLER,
B02.5,28-Jun-19,,,1,CTY,1444,MUELLER,
D01,28-Jun-19,,,1,CTY,1258,MUELLER,
D02,28-Jun-19,,,1,CTY,1314,KENNEDY,
D03,28-Jun-19,,,1,CTY,1314,WATEROUS,
D08,28-Jun-19,,,1,CTY,434,MUELLER,
D13,28-Jun-19,,,1,CTY,1393,MUELLER,
D14,28-Jun-19,,,1,CTY,1393,MUELLER,
D18,28-Jun-19,,,1,CTY,1286,MUELLER,
