lat,lon,hydr_id,Station,district,hydr_gpm,make,model,number,st_prefix,street,st_type,st_suffix,city,state,zip,address
42.08695,-89.30368,I11,1,SW,1354,MUELLER,,1669,E,ACORN,RD,,,,,"1669 E Acorn Rd, Byron, IL 61010, United States"
42.12936,-89.24812,H13,1,CTY,1493,MUELLER,,544,,ALL SAINTS,DR,,,,,"544 All Saints Dr, Byron, IL 61010, United States"
42.1315,-89.24631,H24,,,,,,647,,ALLISON CI,,,,,,"647 Allison Cir, Byron, IL 61010, United States"
42.129728,-89.2601315,E12,1,CTY,1214,WATEROUS,,415,,ASHELFORD,CT,,,,,"415 Ashelford Ct, Byron, IL 61010, United States"
42.12993,-89.25968,E11,1,CTY,1272,WATEROUS,,425,,ASHELFORD,CT,,,,,"425 Ashelford Ct, Byron, IL 61010, United States"
42.13145,-89.23665,H30,1,T,1469,MUELLER,,5142,E,ASHELFORD,DR,,,,,"5142 E Ashelford Dr, Byron, IL 61010, United States"
42.13067,-89.23589,H28,1,T,1469,MUELLER,,5170,E,ASHELFORD,DR,,,,,"5170 E Ashelford Dr, Byron, IL 61010, United States"
42.12995,-89.23518,H29,,,,,,5218,E,ASHELFORD,DR,,,,,"5218 E Ashelford Dr, Byron, IL 61010, United States"
42.1335311,-89.2576331,E05,1,CTY,1039,MUELLER,,8129,N,BARKER,RD,,,,,"8129 N Barker Rd, Byron, IL 61010, United States"
42.1251,-89.27243,C09,1,CTY,1406,MUELLER,,103,S,BARRY,AVE,,,,,"103 Barry Ave, Byron, IL 61010, United States"
42.1237,-89.2724,C17,1,CTY,1314,MUELLER,,127,S,BARRY,AVE,,,,,"127 Barry Ave, Byron, IL 61010, United States"
42.1226601,-89.2728449,C18,1,CTY,1564,MUELLER,,200,S,BARRY,AVE,,,,,"198 Barry Ave, Byron, IL 61010, United States"
42.13366,-89.27677,G12,1,X,1469,MUELLER,,701,,BELAIR,DR,,,,,"701 Belair Dr, Byron, IL 61010, United States"
42.13454,-89.27704,G11,1,X,1444,MUELLER,,736,,BELAIR,DR,,,,,"736 Belair Dr, Byron, IL 61010, United States"
42.13543,-89.27644,G10,,X,1406,MUELLER,,814,,BELAIR,DR,,,,,"814 Belair Dr, Byron, IL 61010, United States"
42.13605,-89.27513,G09,1,X,1381,MUELLER,,853,,BELAIR,DR,,,,,"853 Belair Dr, Byron, IL 61010, United States"
42.1260401,-89.2492367,B02.5,1,CTY,1444,MUELLER,,500,E,BLACKHAWK,DR,,,,,"500 E Blackhawk Dr, Byron, IL 61010, United States"
42.1282593,-89.2472182,H06.5,1,CTY,1564,MUELLER,,602,E,BLACKHAWK,DR,,,,,"602 E Blackhawk Dr, Byron, IL 61010, United States"
42.12517,-89.266,C25,1,CC,1529,MUELLER,,,W,BLACKHAWK,DR,,,,,"W Blackhawk Dr, Byron, IL 61010, United States"
42.12495,-89.26994,C07,1,CTY,1341,MUELLER,,1088,W,BLACKHAWK,DR,,,,,"1088 W Blackhawk Dr, Byron, IL 61010, United States"
42.1252151,-89.2575936,B01,1,CTY,1300,MUELLER,,200,W,BLACKHAWK,DR,,,,,"200 W Blackhawk Dr, Byron, IL 61010, United States"
