recId|SeqNumber|seqLength|displayLatitude|displayLongitude|locationLabel|houseNumber|street|district|city|postalCode|county|state|country
A01|1|1|42.1270642|-89.2525664|221 N Market St, Byron, IL 61010, United States|221|N Market St||Byron|61010|Ogle|IL|USA
A02|1|1|42.1268226|-89.2545316|200 N Chestnut St, Byron, IL 61010, United States|200|N Chestnut St||Byron|61010|Ogle|IL|USA
A03|1|1|42.1254963|-89.2560609|100 N Union St, Byron, IL 61010, United States|100|N Union St||Byron|61010|Ogle|IL|USA
A04|1|1|42.1256674|-89.2557104|115 N Union St, Byron, IL 61010, United States|115|N Union St||Byron|61010|Ogle|IL|USA
A06|1|1|42.127979|-89.2562113|300 N Union St, Byron, IL 61010, United States|300|N Union St||Byron|61010|Ogle|IL|USA
A07|1|1|42.12794|-89.25279|E 3rd St, Byron, IL 61010, United States||E 3rd St||Byron|61010|Ogle|IL|USA
A08|1|1|42.1277651|-89.2542061|200 E 3rd St, Byron, IL 61010, United States|200|E 3rd St||Byron|61010|Ogle|IL|USA
B01|1|1|42.1252151|-89.2575936|200 W Blackhawk Dr, Byron, IL 61010, United States|200|W Blackhawk Dr||Byron|61010|Ogle|IL|USA
B01.5|1|1|42.12758|-89.26029|N Franklin St, Byron, IL 61010, United States||N Franklin St||Byron|61010|Ogle|IL|USA
B02|1|1|42.1255909|-89.2528715|100 N Market St, Byron, IL 61010, United States|100|N Market St||Byron|61010|Ogle|IL|USA
B02.5|1|1|42.1260401|-89.2492367|500 E Blackhawk Dr, Byron, IL 61010, United States|500|E Blackhawk Dr||Byron|61010|Ogle|IL|USA
B03|1|1|42.1251727|-89.2604046|400 W Blackhawk Dr, Byron, IL 61010, United States|400|W Blackhawk Dr||Byron|61010|Ogle|IL|USA
B04|1|1|42.1253683|-89.2512403|100 S Peru St, Byron, IL 61010, United States|100|S Peru St||Byron|61010|Ogle|IL|USA
B05|1|1|42.1246679|-89.2544315|200 S Chestnut St, Byron, IL 61010, United States|200|S Chestnut St||Byron|61010|Ogle|IL|USA
B05.5|1|1|42.12453|-89.25685|120 W Front St, Byron, IL 61010, United States|120|W Front St||Byron|61010|Ogle|IL|USA
B06|1|1|42.1239822|-89.2576405|200 S Walnut St, Byron, IL 61010, United States|200|S Walnut St||Byron|61010|Ogle|IL|USA
B07|1|1|42.1239609|-89.2591044|300 W Merchant St, Byron, IL 61010, United States|300|W Merchant St||Byron|61010|Ogle|IL|USA
B08|1|1|42.12263|-89.26106|233 S Lafayette St, Byron, IL 61010, United States|233|S Lafayette St||Byron|61010|Ogle|IL|USA
B09|1|1|42.1238355|-89.26287|200 S West St, Byron, IL 61010, United States|200|S West St||Byron|61010|Ogle|IL|USA
B11|1|1|42.13171|-89.26388|N Colfax St, Byron, IL 61010, United States||N Colfax St||Byron|61010|Ogle|IL|USA
B12|1|1|42.12358|-89.26351|207 S Colfax St, Byron, IL 61010, United States|207|S Colfax St||Byron|61010|Ogle|IL|USA
B12.5|1|1|42.12284|-89.26348|225 S Colfax St, Byron, IL 61010, United States|225|S Colfax St||Byron|61010|Ogle|IL|USA
B13|1|1|42.12578|-89.26691|Grant St, Byron, IL 61010, United States||Grant St||Byron|61010|Ogle|IL|USA
C01|1|1|42.12439|-89.26731|924 Crest View Trl, Byron, IL 61010, United States|924|Crest View Trl||Byron|61010|Ogle|IL|USA
C02|1|1|42.1239751|-89.2655064|800 Crest View Trl, Byron, IL 61010, United States|800|Crest View Trl||Byron|61010|Ogle|IL|USA
C03|1|1|42.12367|-89.26719|924 Crest Ct, Byron, IL 61010, United States|924|Crest Ct||Byron|61010|Ogle|IL|USA
C04|1|1|42.12364|-89.26829|944 Crest Ct, Byron, IL 61010, United States|944|Crest Ct||Byron|61010|Ogle|IL|USA
C05|1|1|42.12336|-89.26815|927 River Ln, Byron, IL 61010, United States|927|River Ln||Byron|61010|Ogle|IL|USA
C06|1|1|42.1244986|-89.2672558|944 Crest View Trl, Byron, IL 61010, United States|944|Crest View Trl||Byron|61010|Ogle|IL|USA
C06.5|1|1|42.12426|-89.26886|1008 Crest View Trl, Byron, IL 61010, United States|1008|Crest View Trl||Byron|61010|Ogle|IL|USA
C07|1|1|42.12495|-89.26994|1088 W Blackhawk Dr, Byron, IL 61010, United States|1088|W Blackhawk Dr||Byron|61010|Ogle|IL|USA
C08|1|1|42.1250987|-89.2716315|100 Perene Ave, Byron, IL 61010, United States|100|Perene Ave||Byron|61010|Ogle|IL|USA
C09|1|1|42.1251|-89.27243|103 Barry Ave, Byron, IL 61010, United States|103|Barry Ave||Byron|61010|Ogle|IL|USA
