Project,Address,Street,Suite,Eng. Co.,Assigend Shift
LEMAY MANOR I & II APARTMENTS,3950,ADWORTH DR,,1710,A
SWISS CHALET APARTMENTS,4548,ALPS DR,,1710,A
SOUTH COUNTY AUTO CENTER,1077,BARRACKSVIEW RD,,1710,A
Peace Lutheran Church,737,BARRACKSVIEW RD,,1710,A
Peace Lutheran Preschool,737,BARRACKSVIEW RD,,1710,A
RUSTIC VIEW CONDOS,2541,BRUSH CT,,1710,A
BUCKLEY Rd. APTS. (4-FAMILY UNIT),3610..12,BUCKLEY RD,,1710,A
ST. MATTHIAS THE APOSTLE CHURCH, 796,BUCKLEY RD,,1710,A
ST. MATTHIAS THE APOSTLE SCHOOL, 800,BUCKLEY RD,,1710,A
RUSTIC VIEW CONDOS,1170,CALLEY DR,,1710,A
Brazilia Apartments,1194,CASA BRAZILA CT,,1710,A
"r. s. k., knopf homes & realty net",4372,CASA BRAZILA DR,100 & 102,1710,A
American heartland hospice,4372,CASA BRAZILA DR,"201,202 & 203",1710,A
lions sleep lab,4372,CASA BRAZILA DR,301,1710,A
intercom llc,4372,CASA BRAZILA DR,302,1710,A
Colonial Woods Condominiums,6905,COLONIAL WOODS DR,,1710,A
reinhold electrical,9610&9614,CONTINENTAL INDUSTRIAL DR,,1710,A
"dino's trucking inc.
",9615,CONTINENTAL INDUSTRIAL DR,,1710,A
COVINGTON MANOR APTS.,1247,COVINGTON MANOR LN,,1710,A
oriental wok,1367,COVINGTON MANOR LN,,1710,A
Thehairapy STL LLC,1369,COVINGTON MANOR LN,,1710,A
 VACANT,1373....75,COVINGTON MANOR LN,,1710,A
vacant,1377,COVINGTON MANOR LN,,1710,A
judy's pet grooming,1379,COVINGTON MANOR LN,,1710,A
xentel inc.,1381....83,COVINGTON MANOR LN,,1710,A
FARMERS INSURANCE,1391,COVINGTON MANOR LN,,1710,A
NAIL STAR,1393,COVINGTON MANOR LN,,1710,A
RUMA'S DELI,1395,COVINGTON MANOR LN,,1710,A
STATE FARM INSURANCE,4110,CRESCENT DR,,1710,A
James & company,4114,CRESCENT DR,A,1710,A
Edward Jones,4118,CRESCENT DR,,1710,A
"ROBERT BLEVINS, ACCOUNTANT",4122,CRESCENT DR,,1710,A
"LUCKY LEONG, CPA",4126,CRESCENT DR,,1710,A
IMAGE HAIR SYSTEMS,4130,CRESCENT DR,,1710,A
peiker piatchek,4134,CRESCENT DR,,1710,A
ACCIDENT & BACK INJURY CLINIC,4138,CRESCENT DR,,1710,A
"CANNON ELECTRONICS, INC.",4150,CRESCENT DR,,1710,A
JOHN W. GREGORY & CO. inc.,4155,CRESCENT DR,,1710,A
raymond james financial services,4163,CRESCENT DR,,1710,A
Revision Counseling,4171,CRESCENT DR,202,1710,A
HERDER & HERDER P C,4173,CRESCENT DR,A,1710,A
Valence Transportation LLC,4173,CRESCENT DR,B,1710,A
Laten Home,4173,CRESCENT DR,C ,1710,A
Valence Transportation LLC,4173,CRESCENT DR,D,1710,A
c. juengel co.,4175,CRESCENT DR,A,1710,A
vacant,4175,CRESCENT DR,C,1710,A
Efthim Company Realtors,4177,CRESCENT DR,A,1710,A
vacant,4177,CRESCENT DR,B,1710,A
Paul Anthony Baumgartner Agency,4177,CRESCENT DR,C,1710,A
vacant,4177,CRESCENT DR,D,1710,A
Innovation Group,4177,CRESCENT DR,D,1710,A
n. f. p. consultants,4179,CRESCENT DR,A,1710,A
Harvest Bible Chapel St Louis South,4179,CRESCENT DR,C,1710,A
USA Auto Protection,4179,CRESCENT DR,D,1710,A
vacant,4185,CRESCENT DR,,1710,A
vacant,4185,CRESCENT DR,,1710,A
tri-state mortgage & Lending,4185,CRESCENT DR,A,1710,A
l s l enterprises ,4185,CRESCENT DR,C,1710,A
Two Maids & A Mop,4187,CRESCENT DR,C,1710,A
Compassionate Healthcare of St Louis Inc,4191,CRESCENT DR,A,1710,A
shelly madden ,4191,CRESCENT DR,C,1710,A
"kent mc coy, cpa",4191,CRESCENT DR,D,1710,A
vacant,4191,CRESCENT DR,E,1710,A
Development Resource Partners LLC,4193,CRESCENT DR,C & D,1710,A
vacant,4193,CRESCENT DR,E,1710,A
Missouri Air National Guard,244,DAVIS ST,,1710,A
Missouri Air National Guard,78,DAVIS ST,,1710,A
EVERGREEN MANOR APartments,3400,EVERGREEN LN,,1710,A
auto connection,3545,EVERGREEN LN,,1710,A
daniel martin & associates cpa,3551,EVERGREEN LN,,1710,A
Bernard Middle School,1054,FORDER RD,,1710,A
PUBLIC STORAGE,3850,FORDER RD,,1710,A
real life church,  627,FORDER RD,,1710,A
Above and Beyond Learning Center LLC,  967,FORDER RD,,1710,A
Chateau De Ville Condos,4380,FOREST DE VILLE DR,,1710,A
jefferson barracks Air national guard,1,GRANT RD,,1710,A
CUSTOM ROLLform PRODUCTS,3900,GREEN PARK RD,,1710,A
CUSTOM ROLLform PRODUCTS,3991,GREEN PARK RD,,1710,A
JP's Deli,4243,GREEN PARK RD,,1710,A
GREEN PARK LUTHERAN SCHOOL, 4248,GREEN PARK RD,,1710,A
HALLMARK Apartments,3600,HALLMARK LN,,1710,A
vacant,2058,HAPPY LN,,1710,A
HICKORY LANE APTS.-century group,3771,HICKORY HOUSE LN,#1,1710,A
Missouri Air National Guard,45,HUNTER RD,,1710,A
Missouri Air National Guard,46,HUNTER RD,,1710,A
Missouri Air National Guard,47,HUNTER RD,,1710,A
Missouri Air National Guard,61,HUNTER RD,,1710,A
Missouri Air National Guard,44,JOHNSON RD,,1710,A
Missouri Air National Guard,531,JOHNSON RD,,1710,A
Bridgewater cove,44,KASSEBAUM LN,,1710,A
Missouri Air National Guard,39,KEARNEY ST,,1710,A
Missouri Air National Guard,40,KEARNEY ST,,1710,A
Missouri Air National Guard,41,KEARNEY ST,,1710,A
Missouri Air National Guard,42,KEARNEY ST,,1710,A
Missouri Air National Guard,48,KEARNEY ST,,1710,A
Missouri Air National Guard,50,KEARNEY ST,,1710,A
Missouri Air National Guard,51,KEARNEY ST,,1710,A
Missouri Air National Guard,52,KEARNEY ST,,1710,A
Missouri Air National Guard,53,KEARNEY ST,,1710,A
Missouri Air National Guard,59,KEARNEY ST,,1710,A
Missouri Air National Guard,64,KEARNEY ST,,1710,A
Missouri Air National Guard,65,KEARNEY ST,,1710,A
cornerstone academy,   74,KEARNEY ST,,1710,A
Missouri Air National Guard,97,KEARNEY ST,,1710,A
Missouri Air National Guard,99,KEARNEY ST,,1710,A
HEATHERBROOK GARDENS,1123,KINGBOLT CIRCLE DR,J,1710,A
V A Medical Center - J B,3150,KOCH RD,,1710,A
KINSWOOD APartments,4223,KOPWOOD DR,A,1710,A
Peppermill Condominiums,2470,LAMPONG DR,,1710,A
JUST HONDA'S,2009,LEMAY FERRY RD,,1710,A
bieg plumbing,2015,LEMAY FERRY RD,,1710,A
South County Law Offices,2023,LEMAY FERRY RD,,1710,A
Dribble Drain LLC,2025,LEMAY FERRY RD,,1710,A
vacant,2139,LEMAY FERRY RD,,1710,A
BANDWAGON HALL,2151,LEMAY FERRY RD,,1710,A
midwest bank centre,2191,LEMAY FERRY RD,,1710,A
import auto - jayco enterprises,2200,LEMAY FERRY RD,,1710,A
UNA MARKET,2201,LEMAY FERRY RD,A,1710,A
Lemay Meat Grocery Store,2201,LEMAY FERRY RD,B,1710,A
FARMERS INSURANCE,2201,LEMAY FERRY RD,C,1710,A
Berix Coffee Restaurant,2201,LEMAY FERRY RD,D,1710,A
american cleaners,2211,LEMAY FERRY RD,,1710,A
POOL KING RECREATION,2216,LEMAY FERRY RD,,1710,A
SOUTH COUNTY HABILITATION CENTER,2312,LEMAY FERRY RD,,1710,A
prime time academy,2338,LEMAY FERRY RD,,1710,A
A Family Thrift Center,2500,LEMAY FERRY RD,,1710,A
vacant,2510,LEMAY FERRY RD,,1710,A
value city department store,2511,LEMAY FERRY RD,,1710,A
LEMAY PLAZA VETERINARY CLINIC,2514,LEMAY FERRY RD,,1710,A
Dierberg's Market,2516,LEMAY FERRY RD,,1710,A
First Bank,2516,LEMAY FERRY RD,,1710,A
Vacant,2516,LEMAY FERRY RD,A,1710,A
The UPS Store,2518,LEMAY FERRY RD,,1710,A
FANTASTIC SAM'S,2520,LEMAY FERRY RD,,1710,A
Bates Street Lock & Safe,2522,LEMAY FERRY RD,,1710,A
Vacant,2524,LEMAY FERRY RD,,1710,A
Vacant,2526,LEMAY FERRY RD,,1710,A
SSM PHYSICAL THERAPY,2529/32/33,LEMAY FERRY RD,,1710,A
SSM Physical Therapy,2532,LEMAY FERRY RD,,1710,A
Pizza Hut,2536,LEMAY FERRY RD,,1710,A
Vacant,2538,LEMAY FERRY RD,,1710,A
Pro Nails,2540,LEMAY FERRY RD,,1710,A
Bank of America,2542,LEMAY FERRY RD,,1710,A
Ray's Hair Care,2544,LEMAY FERRY RD,,1710,A
Vacant,2546,LEMAY FERRY RD,,1710,A
Beltone Hearing Aid Center,2548,LEMAY FERRY RD,,1710,A
LEMAY GARDEN RESTAURANT,2550,LEMAY FERRY RD,,1710,A
Family Dentistry,2552,LEMAY FERRY RD,,1710,A
Birthright STL,2554,LEMAY FERRY RD,,1710,A
Party City,2560,LEMAY FERRY RD,,1710,A
Clarkson Eye Care,2572,LEMAY FERRY RD,,1710,A
,2574,LEMAY FERRY RD,,1710,A
HARDEE'S RESTAURANT,2580,LEMAY FERRY RD,,1710,A
Vacant,2582,LEMAY FERRY RD,,1710,A
Sherwin Williams Paint,2590,LEMAY FERRY RD,,1710,A
MOBIL MART SOUTH,2600,LEMAY FERRY RD,,1710,A
LEMAY CHURCH OF CHRIST, 2709,LEMAY FERRY RD,,1710,A
DUBOWL LANES,2711,LEMAY FERRY RD,,1710,A
AUSTIN TRANSMISSION,2715,LEMAY FERRY RD,,1710,A
