occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last
(former Lockwood Dairy) Storage Building,15312,S,JAMES,ST,,,,Plainfield,IL,60544,8,800,"Storage, Other",1,0,0,R,0,U,N,N,,,,,N,N,,,Bob,Bailey,708-259-7248,,(FORMER LOCKWOOD DAIRY) STORAGE BUILDING,BOB,BAILEY
4 Sight Icare,11914,S,RT 59,,,,UNIT 106,PLAINFIELD,IL,60585,3,342,"Doctor, dentist or oral sur",1,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Mark,Burke,773-425-0732,,4 SIGHT ICARE,MARK,BURKE
7 Day Spa,2430,W,PLAINFIELD,RD,,,SUITE 1C,CREST HILL,IL,60403,5,557,"Personal service, including",2,0,2,C,6,U,N,N,,,,,N,N,,,Hai Xia,Cao,847-315-0668,,7 DAY SPA,HAI XIA,CAO
7 Star Day Spa,24125,W,111TH,ST,,,UNIT 100,NAPERVILLE,IL,60564,5,569,"Professional supplies, serv",1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,,,,,7 STAR DAY SPA,,
7-11,14807,S,RT 59,,,,UNIT 105,Plainfield,IL,60544,5,511,Convenience store,1,0,7,B,4,U,N,N,,,,,N,N,,,Kash,Shah,630-804-4141,,7-11,KASH,SHAH
A & A Tech Transmission,2419,W,PLAINFIELD,RD,,,,JOLIET,IL,60435,5,579,Motor vehicle or boat sales,1,0,,,,,,,,,,,,,,,,,,,A & A TECH TRANSMISSION,,
A & R Properties,23840,W,ANDREW,RD,,,UNIT 1,Plainfield,IL,60585,5,500,"Mercantile, business, Other",2,0,6,M,4,U,1,P,1,S,4,H,N,N,,,Len,Ahrens,630-710-5997,,A & R PROPERTIES,LEN,AHRENS
A P1h Enterprise Ltd.,12006,S,SPAULDING SCHOOL,DR,,,UNIT 104,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,0,6,M,8,U,N,N,,,,,N,N,,,Julian,Bell,630-785-0400,,A P1H ENTERPRISE LTD.,JULIAN,BELL
A Thin Line Tattoo,12337,S,RT 59,,,,UNIT 111,PLAINFIELD,IL,60585,5,593,Office:  veterinary or rese,1,0,7,B,3,P,1,P,1,S,4,H,1,P,1,W,,,,,A THIN LINE TATTOO,,
A To Z Mobility And Medical Equipment,23838,W,INDUSTRIAL,DR,N,,SUITE 200,PLAINFIELD,IL,60585,5,579,Motor vehicle or boat sales,1,0,7,B,4,U,1,P,1,S,4,H,N,N,,,,Cross Point Sales,815-727-6585,,A TO Z MOBILITY AND MEDICAL EQUIPMENT,,CROSS POINT SALES
A&a Tech Transmission,2417,W,PLAINFIELD,RD,,,,CREST HILL,IL,60435,5,579,Motor vehicle or boat sales,1,0,2,C,8,U,N,N,,,,,N,N,,,,,,,A&A TECH TRANSMISSION,,
A&s International,24317,W,143RD,ST,,,UNIT 101,PLAINFIELD,IL,60544,5,593,Office:  veterinary or rese,2,0,7,B,4,U,1,P,4,S,4,H,1,P,1,W,Ted,Price,440-808-9570,,A&S INTERNATIONAL,TED,PRICE
A'colsha Hair Salon,15507,S,RT 59,,,,UNIT 3,PLAINFIELD,IL,60544,5,557,"Personal service, including",1,0,7,B,6,U,1,P,1,S,4,H,N,N,,,Colleen,Eaklly,815-267-3076,,A'COLSHA HAIR SALON,COLLEEN,EAKLLY
A.e. Products,12105,S,SPAULDING SCHOOL,DR,,,UNIT 9,PLAINFIELD,IL,60585,8,800,"Storage, Other",1,0,7,B,4,U,N,N,,,,,N,N,,,Chris,Ramos,815-439-8901,,A.E. PRODUCTS,CHRIS,RAMOS
