occ_name,number,st_prefix,street,st_type,st_suffix,addr_2,apt_room,city,state,zip,property_class,prop_use,property,floors_above,floors_below,roof_cover,roof,construct,construction_ty,det_pres,det_present,det_type,detect_type,det_power,detector_power,aes_pres,aes_present,aes_type,aestype,first_name,last_name,phone,ext,name,first,last,notes
Park - Wheatland,,W,127TH,ST,,WHEATLAND TOWNSHIP COMMUNITY PARK,,PLAINFIELD,IL,60585,1,124,Playground,,,,,,,,,,,,,,,,,,,,,PARK - WHEATLAND,,,
Ronald Hohl Dds,,,23819,ML,,,4,PLAINFIELD,IL,60544,3,340,"Clinics, doctors offices, h",1,1,,,,,,,,,,,,,,,Lettie,Burne,708-337-1975,,RONALD HOHL DDS,LETTIE,BURNE,
Andcar Realty (home Business),     504,W,COMMERCIAL,ST,,,,Plainfield,IL,60544,5,569,"Professional supplies, serv",,,,,,,,,,,,,,,,,Donald,Anderson,815-436-7120,,ANDCAR REALTY (HOME BUSINESS),DONALD,ANDERSON,
Balanced Environmental,  12006,S,SPAULDING SCHOOL,DR,,,UNIT 102,PLAINFIELD,IL,60585,5,500,"Mercantile, business, Other",2,,6,M,8,U,N,N,,,,,N,N,,,,,,,BALANCED ENVIRONMENTAL,,,
Ants Inc. (home Bus),102,S,UNION,CT,,,,Plainfield,IL,60544,5,500,"Mercantile, business, Other",,,,,,,,,,,,,,,,,Robert,"Szczesniak, Jr.",815-577-9907,,ANTS INC. (HOME BUS),ROBERT,"SZCZESNIAK, JR.",
Cell Tower,10856,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60585,6,640,Utility or Distribution sys,1,,,,,,,,,,,,,,,,,Crown Castle,847-304-3444,,CELL TOWER,,CROWN CASTLE,
Naperbrook Golf Club Maintenance Bldg,10953,S,NAPERVILLE,RD,,,,PLAINFIELD,IL,60585,8,880,"Vehicle storage, Other",1,1,2,C,8,U,U,U,,,,,N,N,,,Ed,Provow,630-408-3653,,NAPERBROOK GOLF CLUB MAINTENANCE BLDG,ED,PROVOW,
Zion Lutheran Church & Preschool,11007,S,BOOK,RD,,,,NAPERVILLE,IL,60564,1,131,"Church, mosque, synagogue,",1,,7,B,5,P,,,,,,,,,,,Russ,Andermann,630-696-8840,,ZION LUTHERAN CHURCH & PRESCHOOL,RUSS,ANDERMANN,
Heritage Fs - Plainfield,11127,S,HEGGS,RD,,,,PLAINFIELD,IL,60585,8,800,"Storage, Other",1,,6,M,8,U,N,N,,,,,N,N,,,Brad,Eike,815-378-3674,,HERITAGE FS - PLAINFIELD,BRAD,EIKE,
Plainfield Township Park District,112,W,OTTAWA,ST,,,,Plainfield,IL,60544,5,599,Business office,1,1,2,C,6,U,N,N,,,,,N,N,,,,,,,PLAINFIELD TOWNSHIP PARK DISTRICT,,,
At&t,11211,S,RT 59,,,,,NAPERVILLE,IL,60564,6,639,Communications center,1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,,Corporate Real Estate,877-477-1811,,AT&T,,CORPORATE REAL ESTATE,
U-haul,11238,S,RT 59,,,,,NAPERVILLE,IL,60564,8,899,Residential or self-storage,1,,0,R,4,U,1,P,3,C,4,H,N,N,,,Angela,Farley,630-465-1880,,U-HAUL,ANGELA,FARLEY,
Springbrook Community Church,11247,S,HEGGS,RD,,,,PLAINFIELD,IL,60585,1,131,"Church, mosque, synagogue,",1,,7,B,4,U,1,P,5,M,4,H,1,P,1,W,Matthew,Woodford,630-551-0963,,SPRINGBROOK COMMUNITY CHURCH,MATTHEW,WOODFORD,
Multi-tenant Building,11258,S,RT 59,,,,,Naperville,Il,60564,5,500,"mercantile,business,other",1,,6,M,8,U,N,N,1,S,4,H,N,N,,,,,,,,,,"Lifetime Health & Wellness: Morton Buldings Inc. 630-904-1122|Platinum Family Medicine: Claire Sutton 224-587-8282|Prestige Motor Works, Rear Bldg: Alex Toustanoushy 630-631-2535"
