Polygon,Name,Street Address,Street Address2,City,State,Zip code,Roof Area (Sq. Ft),Occupancy Type,Construction Type,Roof Type,Roof Construction,Roof Material,Normal Population,Sprinklered,Stand Pipe,Fire Alarm,Hours of Operation,Owner Contact,Owner Phone,Notes,Storey Above,Storey Below
,Clark hall,1203 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000087,CNU",,
,Barton hall,1205 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000088,CNU",,
,Flagg hall,1207 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000089,CNU",,
,Noble hall,1209 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000090,CNU",,
,Taft Hall,1213 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000092,CNU",,
,Van Doren Hall,1215 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000091,CNU",,
,Biefeldt Athletic Administration,1700 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000379,CNU",,
,Ubben Basketball Complex,1750 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000257,CNU",,
,Animal science sup.residence and garage,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000893,CNU",,
,Moorman research farm -south barn,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000894,CNU",,
,Moorman research farm gate house,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000895,CNU",,
,Moorman research farm nc-23,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000896,CNU",,
,Moorman research farm -boar barn,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000897,CNU",,
,Moorman research farm-sow barn,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000898,CNU",,
,Moorman research farm-physiology barn2,2100 S Fourth ST,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000899,CNU",,
