Polygon,Name,Street Address,Street Address2,City,State,Zip code,Roof Area (Sq. Ft),Occupancy Type,Construction Type,Roof Type,Roof Construction,Roof Material,Normal Population,Sprinklered,Stand Pipe,Fire Alarm,Hours of Operation,Owner Contact,Owner Phone,Notes,Storey Above,Storey Below
,Frasca International,906 E Airport RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,911533300005",,
,Frasca Airport,1402 E Airport RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912104100001,FPP,704",,
,Willard Airport Hangar #2,  Airport RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000663,CCU",,
,Willard Airport Hangar #3,  Airport RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000681,CCU",,
,Willard Airport Hangar #5,  Airport RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000682,CCU",,
,Willard Airport Field Vault,  Airport RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000697,CCU",,
,Amber Pointe Apartments (1802),1802 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401018",,
,Amber Pointe Apartments (1804),1804 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401032",,
,Amber Pointe Apartments (1806),1806 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401032A",,
,Amber Pointe Apartments (1808),1808 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401030",,
,Amber Pointe Apartments (1810),1810 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401032I",,
,Amber Pointe Apartments (1812),1812 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401032J",,
,Amber Pointe Apartments  (1814),1814 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401032K",,
,Amber Pointe Apartments (1822),1822 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025A",,
,Amber Pointe Apartments (1824),1824 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025B",,
,Amber Pointe Apartments (1826),1826 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025D",,
,Amber Pointe Apartments (1828),1828 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401029A",,
,Amber Pointe Apartments (1830),1830 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401029B",,
,Amber Pointe Apartments (1834),1834 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401031J",,
,Amber Pointe Apartments (1836),1836 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401031K",,
,Amber Pointe Apartments (1902),1902 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025E",,
,Amber Pointe Apartments (1904),1904 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025F",,
,Amber Pointe Apartments (1906),1906 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025G",,
,Amber Pointe Apartments (1908),1908 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024H",,
,Amber Pointe Apartments (1910),1910 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024I",,
,Amber Pointe Apartments (1912),1912 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024B",,
,Amber Pointe Apartments (1914),1914 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025H",,
,Amber Pointe Apartments (1916),1916 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025I",,
,Amber Pointe Apartments (1918),1918 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,93221401025HJ",,
,Amber Pointe Apartments (1920),1920 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025J",,
,Amber Pointe Apartments (1921),1921 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025L",,
,Amber Pointe Apartments (1922),1922 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025K",,
,Amber Pointe Apartments (1924),1924 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025M",,
,Amber Pointe Apartments (2004),2004 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024C",,
,Amber Pointe Apartments (2006),2006 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024D",,
,Amber Pointe Apartments (2008),2008 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024E",,
,Amber Pointe Apartments (2010),2010 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025",,
,Amber Pointe Apartments (2012),2012 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025C",,
,Amber Pointe Apartments (2014),2014 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401025X",,
,Amber Pointe Apartments (2016),2016 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024F",,
,Amber Pointe Apartments (2018),2018 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024G",,
,Amber Pointe Apartments (2020),2020 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024P",,
,Amber Pointe Apartments (2022),2022 E Amber LN,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121401024S",,
,Gulliford Services (out of business),302 E Anthony DR,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912105276007",,
,Vacant (FPP),304 E Anthony DR,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912105276008,FPP",,
,Irwin Academic Service Center,402 E Armory AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000381,CNU",,
,School of Labor & Employment Relations,504 E Armory AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,UIUC000218,CNU",,
,Champaign County Highway Dept/Salt,301  Art Bartell RD,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,922116200005B",,
,Potter Electric Service Inc,1211 N Berkley AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108205007",,
,Stevie Jay Broadcasting,2702  Boulder ,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932128225001",,
,Edward Jones,2704  Boulder ,A,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932128225007A",,
,Blueprint,2704  Boulder ,B,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932128225007B",,
,State Farm Insurance,2704  Boulder ,C,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932128225007C",,
,Facer Law Office,2704  Boulder ,D,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932128225007D",,
,American Oil Chemists Society,2710  Boulder ,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932128225003",,
,Campus Property Management,1302 E Brighton DR,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932121177015",,
,Delmont Village,1505 S Broadway AVE,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,932117453055",,
,Beads & Botanicals,117 N Broadway ,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108458005",,
,"Middleton,Craver & Keller",210 N Broadway ,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108461002",,
,VACANT fka Recovery Option/ACES,217 N Broadway ,,Urbana,IL,61801,,,,,,,,,,,,,,"NOMATCH,912108457020",,
